Major_category,Major,Major_code,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th
Computers & Mathematics,COMMUNICATION TECHNOLOGIES,2001,62141,49609,37261,4609,0.08500866900000001,50000,34500,75000.0
Computers & Mathematics,COMPUTER AND INFORMATION SYSTEMS,2100,253782,218248,189950,11945,0.051891239000000006,65000,45000,90000.0
Computers & Mathematics,COMPUTER PROGRAMMING AND DATA PROCESSING,2101,29317,22828,18747,2265,0.090264217,60000,40000,85000.0
Computers & Mathematics,COMPUTER SCIENCE,2102,783292,656372,561052,34196,0.049518657,78000,51000,105000.0
Computers & Mathematics,INFORMATION SCIENCES,2105,77805,66393,57604,3704,0.052841063,68000,46200,95000.0
Computers & Mathematics,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,2106,39362,32366,28156,2626,0.075045725,55000,40000,80000.0
Computers & Mathematics,COMPUTER NETWORKING AND TELECOMMUNICATIONS,2107,51771,44071,35954,2748,0.05869412,55000,36000,80000.0
Industrial Arts & Consumer Services,COSMETOLOGY SERVICES AND CULINARY ARTS,2201,42325,33388,25780,1941,0.054940699999999995,40000,26200,60000.0
Education,GENERAL EDUCATION,2300,1438867,843693,591863,38742,0.043903517,43000,32000,59000.0
Education,EDUCATIONAL ADMINISTRATION AND SUPERVISION,2301,4037,3113,2468,0,0.0,58000,44750,79000.0
Education,SCHOOL STUDENT COUNSELING,2303,2396,1492,1093,169,0.101745936,41000,33200,50000.0
Education,ELEMENTARY EDUCATION,2304,1446701,819393,501786,32685,0.038359164,40000,31000,50000.0
Education,MATHEMATICS TEACHER EDUCATION,2305,68808,47203,29494,1610,0.032983017,43000,34000,60000.0
Education,PHYSICAL AND HEALTH EDUCATION TEACHING,2306,281661,193542,136343,9389,0.046266958,48400,34000,66500.0
Education,EARLY CHILDHOOD EDUCATION,2307,157079,113460,71133,5890,0.049350649,35300,27000,45800.0
Education,SCIENCE AND COMPUTER TEACHER EDUCATION,2308,56477,36224,24817,1596,0.042199894,46000,35000,61000.0
Education,SECONDARY TEACHER EDUCATION,2309,224262,129486,88917,5925,0.043755677,45000,34000,60000.0
Education,SPECIAL NEEDS EDUCATION,2310,149689,108272,71615,5357,0.047144655,42000,34000,53000.0
Education,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,2311,127022,78785,51632,3800,0.046013199000000005,45000,33000,64000.0
Education,TEACHER EDUCATION: MULTIPLE LEVELS,2312,88067,58885,37892,2032,0.033356863,40000,30000,51000.0
Education,LANGUAGE AND DRAMA EDUCATION,2313,181445,111347,67651,5624,0.048080292999999996,42000,32000,54000.0
Education,ART AND MUSIC EDUCATION,2314,231861,155159,94756,6629,0.040973373,42600,32000,56000.0
Education,MISCELLANEOUS EDUCATION,2399,225553,126054,91322,5145,0.039215238,50000,35600,71000.0
Engineering,GENERAL ENGINEERING,2400,503080,359172,312023,17986,0.047688237,75000,50000,100000.0
Engineering,AEROSPACE ENGINEERING,2401,65734,44944,38491,1969,0.041971309000000005,80000,58000,110000.0
Engineering,BIOLOGICAL ENGINEERING,2402,32748,24270,18621,1521,0.058974060999999994,62000,40000,91000.0
Engineering,ARCHITECTURAL ENGINEERING,2403,19587,13713,11180,1017,0.06904277,78000,50000,102000.0
Engineering,BIOMEDICAL ENGINEERING,2404,18347,12876,9202,1105,0.079035834,65000,40000,96000.0
Engineering,CHEMICAL ENGINEERING,2405,188046,131697,109406,6388,0.046261360999999994,86000,60000,120000.0
Engineering,CIVIL ENGINEERING,2406,358593,262831,220528,14823,0.053386589000000005,78000,55000,105000.0
Engineering,COMPUTER ENGINEERING,2407,154160,128742,111025,7456,0.054743829,80000,60000,107000.0
Engineering,ELECTRICAL ENGINEERING,2408,671647,489965,422317,26064,0.050508789000000005,88000,60000,116000.0
Engineering,ENGINEERING MECHANICS PHYSICS AND SCIENCE,2409,20582,14909,12257,683,0.043804515,65000,45000,100000.0
Engineering,ENVIRONMENTAL ENGINEERING,2410,13016,9849,8104,472,0.045732003,70000,50000,95000.0
Engineering,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,2411,6264,4120,3350,0,0.0,85000,55000,125000.0
Engineering,INDUSTRIAL AND MANUFACTURING ENGINEERING,2412,138366,101273,85014,5498,0.051493383,75000,50000,101000.0
Engineering,MATERIALS ENGINEERING AND MATERIALS SCIENCE,2413,21430,14687,11871,933,0.059731114,78000,55000,105000.0
Engineering,MECHANICAL ENGINEERING,2414,581529,422207,362053,19360,0.043843855999999994,80000,59000,110000.0
Engineering,METALLURGICAL ENGINEERING,2415,12818,6939,5462,326,0.044872677,96000,65000,123000.0
Engineering,MINING AND MINERAL ENGINEERING,2416,10746,7416,6419,366,0.047031610999999994,92000,52000,124000.0
Engineering,NAVAL ARCHITECTURE AND MARINE ENGINEERING,2417,16094,10690,9226,449,0.040308825,97000,60000,125000.0
Engineering,NUCLEAR ENGINEERING,2418,9826,7320,6474,527,0.06715942400000001,95000,65000,128000.0
Engineering,PETROLEUM ENGINEERING,2419,19631,14002,11636,617,0.042205349,125000,75000,210000.0
Engineering,MISCELLANEOUS ENGINEERING,2499,57006,43906,37194,2744,0.058821008,70000,50000,100000.0
Engineering,ENGINEERING TECHNOLOGIES,2500,37382,30102,25651,1475,0.046711214,63000,40000,93000.0
Engineering,ENGINEERING AND INDUSTRIAL MANAGEMENT,2501,47098,27275,22104,1577,0.054658255999999995,74000,50000,107000.0
Engineering,ELECTRICAL ENGINEERING TECHNOLOGY,2502,94697,73737,64157,4572,0.058384094000000004,67000,46900,91000.0
Engineering,INDUSTRIAL PRODUCTION TECHNOLOGIES,2503,82142,65401,57266,3431,0.049846002,70000,48000,98000.0
Engineering,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,2504,29348,24190,21273,1101,0.043533273,60000,40000,82000.0
Engineering,MISCELLANEOUS ENGINEERING TECHNOLOGIES,2599,64196,53097,46183,3401,0.060196821,63000,42000,90000.0
Humanities & Liberal Arts,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,2601,75791,45657,30428,4043,0.081348089,48000,30000,70000.0
Humanities & Liberal Arts,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,2602,236342,153654,99459,9598,0.058792542,48000,33500,69000.0
Humanities & Liberal Arts,OTHER FOREIGN LANGUAGES,2603,57793,34696,23046,2707,0.072373874,45000,30000,75000.0
Industrial Arts & Consumer Services,FAMILY AND CONSUMER SCIENCES,2901,402038,241585,154167,14273,0.055784849000000004,40500,30000,60000.0
Law & Public Policy,COURT REPORTING,3201,9330,7270,6143,518,0.066512583,50000,34000,75000.0
Law & Public Policy,PRE-LAW AND LEGAL STUDIES,3202,67037,49259,37254,3699,0.069847804,48000,34000,70000.0
Humanities & Liberal Arts,ENGLISH LANGUAGE AND LITERATURE,3301,1098647,708882,482229,52248,0.068645304,50000,32900,75000.0
Humanities & Liberal Arts,COMPOSITION AND RHETORIC,3302,59211,44913,29628,3569,0.07361495,40000,28800,65000.0
Humanities & Liberal Arts,LIBERAL ARTS,3401,601221,404932,296792,29348,0.067578521,50000,33000,75000.0
Humanities & Liberal Arts,HUMANITIES,3402,46188,29971,19460,2530,0.077843759,46700,30000,70000.0
Education,LIBRARY SCIENCE,3501,16193,7091,4330,743,0.09484299199999999,40000,30000,55000.0
Biology & Life Science,BIOLOGY,3600,839454,583079,422788,36757,0.05930117,51000,35000,80000.0
Biology & Life Science,BIOCHEMICAL SCIENCES,3601,75322,52594,37103,4056,0.07159752900000001,53000,33000,82000.0
Biology & Life Science,BOTANY,3602,14135,9284,6333,327,0.034023515,50000,32000,75000.0
Biology & Life Science,MOLECULAR BIOLOGY,3603,28197,20221,13366,1303,0.060537075,45000,30000,70000.0
Biology & Life Science,ECOLOGY,3604,45368,36708,25677,1888,0.048916985999999996,47500,32000,73000.0
Biology & Life Science,GENETICS,3605,6362,4747,3498,206,0.041590955,48000,33000,80000.0
Biology & Life Science,MICROBIOLOGY,3606,68885,45422,33990,2435,0.050880749,60000,40000,85000.0
Biology & Life Science,PHARMACOLOGY,3607,5015,3481,2579,57,0.016110797,60000,35000,105000.0
Biology & Life Science,PHYSIOLOGY,3608,43984,31394,20207,1692,0.051139455,50000,30000,75000.0
Biology & Life Science,ZOOLOGY,3609,55395,35714,26152,1815,0.0483626,55000,34000,85000.0
Biology & Life Science,NEUROSCIENCE,3611,13676,8987,5446,665,0.068897638,35000,28000,52000.0
Biology & Life Science,MISCELLANEOUS BIOLOGY,3699,29389,22298,16508,1114,0.047582436,52000,33500,72800.0
Computers & Mathematics,MATHEMATICS,3700,432806,280902,209838,15701,0.05293608,66000,42000,100000.0
Computers & Mathematics,APPLIED MATHEMATICS,3701,19112,15136,12109,892,0.055652608,70000,47000,106000.0
Computers & Mathematics,STATISTICS AND DECISION SCIENCE,3702,24806,18808,14468,1138,0.057054046,70000,43000,102000.0
Industrial Arts & Consumer Services,MILITARY TECHNOLOGIES,3801,4315,1650,1708,187,0.10179640699999999,64000,39750,90000.0
Interdisciplinary,MULTI/INTERDISCIPLINARY STUDIES,4000,45199,35706,26038,2990,0.077268968,43000,32000,55000.0
Humanities & Liberal Arts,INTERCULTURAL AND INTERNATIONAL STUDIES,4001,56580,43114,27499,3462,0.074330127,45000,30000,69000.0
Health,NUTRITION SCIENCES,4002,64534,43878,28112,2961,0.06321655,49500,34000,69000.0
Computers & Mathematics,MATHEMATICS AND COMPUTER SCIENCE,4005,7184,5874,5039,150,0.024900397999999997,92000,53000,136000.0
Biology & Life Science,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,4006,6898,5527,3639,284,0.048872827,53000,31500,93000.0
Social Science,INTERDISCIPLINARY SOCIAL SCIENCES,4007,61871,43312,31078,3030,0.065383453,45000,33000,67000.0
Industrial Arts & Consumer Services,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,4101,350409,286683,204242,14108,0.046902999,44000,30000,60000.0
Humanities & Liberal Arts,PHILOSOPHY AND RELIGIOUS STUDIES,4801,205763,138734,95429,11252,0.075020335,45000,30000,70000.0
Humanities & Liberal Arts,THEOLOGY AND RELIGIOUS VOCATIONS,4901,232865,164827,121606,7317,0.042505112000000005,40000,27000,56000.0
Physical Sciences,PHYSICAL SCIENCES,5000,8856,5872,4961,238,0.038952537,60000,38000,89000.0
Physical Sciences,ASTRONOMY AND ASTROPHYSICS,5001,4700,3400,2447,320,0.086021505,80000,40000,106000.0
Physical Sciences,ATMOSPHERIC SCIENCES AND METEOROLOGY,5002,14051,11252,9098,429,0.036726308,60000,39000,90000.0
Physical Sciences,CHEMISTRY,5003,308062,198075,153308,11468,0.054728624000000003,59000,38700,90000.0
Physical Sciences,GEOLOGY AND EARTH SCIENCE,5004,107902,75698,59262,5272,0.065110535,65000,42000,100000.0
Physical Sciences,GEOSCIENCES,5005,8267,6129,5020,274,0.042792440999999994,57000,36000,80000.0
Physical Sciences,OCEANOGRAPHY,5006,10741,7882,6508,449,0.053895091,55000,40000,90000.0
Physical Sciences,PHYSICS,5007,122620,80797,60812,4440,0.052090055,70000,40000,110000.0
Engineering,MATERIALS SCIENCE,5008,7208,5866,4505,134,0.022333332999999997,75000,60000,100000.0
Physical Sciences,MULTI-DISCIPLINARY OR GENERAL SCIENCE,5098,427953,308461,238933,14613,0.045231124000000004,56000,38000,85000.0
Physical Sciences,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",5102,12166,9560,7238,718,0.069857949,62000,45000,80000.0
Psychology & Social Work,PSYCHOLOGY,5200,1484075,1055854,736817,79066,0.069666584,45000,31000,68000.0
Psychology & Social Work,EDUCATIONAL PSYCHOLOGY,5201,14041,8751,5763,716,0.07563114,40000,33000,70000.0
Psychology & Social Work,CLINICAL PSYCHOLOGY,5202,7638,5128,3297,587,0.102712161,45000,26100,62000.0
Psychology & Social Work,COUNSELING PSYCHOLOGY,5203,17633,13071,8888,954,0.06802139,39000,25000,50000.0
Psychology & Social Work,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,5205,17969,11878,8631,1084,0.08362907,62000,40000,84000.0
Psychology & Social Work,SOCIAL PSYCHOLOGY,5206,10871,6897,5226,660,0.087336245,47000,35000,70000.0
Psychology & Social Work,MISCELLANEOUS PSYCHOLOGY,5299,34102,23921,15688,2137,0.082009364,45000,30000,70000.0
Law & Public Policy,CRIMINAL JUSTICE AND FIRE PROTECTION,5301,757141,613369,517599,35037,0.054035589,50000,35000,74000.0
Law & Public Policy,PUBLIC ADMINISTRATION,5401,54636,37879,31262,2836,0.069654918,56000,40000,85000.0
Law & Public Policy,PUBLIC POLICY,5402,14782,11147,8196,959,0.079216917,60000,38000,90000.0
Psychology & Social Work,HUMAN SERVICES AND COMMUNITY ORGANIZATION,5403,81786,61402,44959,4794,0.072421294,38000,29000,52000.0
Psychology & Social Work,SOCIAL WORK,5404,319163,225081,164020,14208,0.059375900999999995,40000,30000,53000.0
Social Science,GENERAL SOCIAL SCIENCES,5500,127363,80165,57036,6132,0.07105693099999999,50000,35000,75000.0
Social Science,ECONOMICS,5501,757616,535446,430580,34974,0.061312717,69000,42000,110000.0
Humanities & Liberal Arts,ANTHROPOLOGY AND ARCHEOLOGY,5502,143087,102399,66046,8684,0.078175778,43000,30000,68000.0
Social Science,CRIMINOLOGY,5503,75085,59534,48763,4106,0.06451917,49000,35000,72000.0
Social Science,GEOGRAPHY,5504,115423,83671,63070,6202,0.06900849,54000,38300,78000.0
Social Science,INTERNATIONAL RELATIONS,5505,77371,56564,42091,4278,0.07031327,55000,40000,89000.0
Social Science,POLITICAL SCIENCE AND GOVERNMENT,5506,748956,541630,421761,40376,0.069373855,58000,38000,90000.0
Social Science,SOCIOLOGY,5507,674558,459174,336515,32344,0.06580430400000001,47000,33000,70000.0
Social Science,MISCELLANEOUS SOCIAL SCIENCES,5599,15882,12307,9444,708,0.054398771,52000,40000,80000.0
Industrial Arts & Consumer Services,CONSTRUCTION SERVICES,5601,92346,79055,65916,4257,0.051097080999999996,65000,45000,95000.0
Industrial Arts & Consumer Services,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",5701,15726,12607,10453,692,0.052033987999999996,48000,32000,75000.0
Industrial Arts & Consumer Services,TRANSPORTATION SCIENCES AND TECHNOLOGIES,5901,126639,98814,83519,4902,0.047263682,67000,42500,98000.0
Arts,FINE ARTS,6000,571961,386961,256747,29912,0.071753268,45000,30000,70000.0
Arts,DRAMA AND THEATER ARTS,6001,174817,135071,81519,11789,0.08027373,42000,29000,62000.0
Arts,MUSIC,6002,276262,192704,116142,11155,0.054719193,45000,30000,67000.0
Arts,VISUAL AND PERFORMING ARTS,6003,55141,41098,23479,4297,0.09465800199999999,40000,27000,59000.0
Arts,COMMERCIAL ART AND GRAPHIC DESIGN,6004,504657,379980,266671,30330,0.07391971900000001,46600,32000,70000.0
Arts,FILM VIDEO AND PHOTOGRAPHIC ARTS,6005,133508,107651,69303,10080,0.08561891099999999,47000,30000,70000.0
Humanities & Liberal Arts,ART HISTORY AND CRITICISM,6006,90852,61295,38989,4185,0.063912645,44500,30000,70000.0
Arts,STUDIO ARTS,6007,81008,58799,36943,5372,0.083713827,37600,24900,58000.0
Arts,MISCELLANEOUS FINE ARTS,6099,8511,6431,3802,1190,0.156147487,45000,30000,60000.0
Health,GENERAL MEDICAL AND HEALTH SERVICES,6100,104516,78198,53746,4525,0.054700627,50000,35000,73000.0
Health,COMMUNICATION DISORDERS SCIENCES AND SERVICES,6102,74977,49393,26085,2407,0.046467180999999996,42000,30000,60000.0
Health,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,6103,108510,85360,67294,5160,0.057003977000000004,50000,35000,75000.0
Health,MEDICAL ASSISTING SERVICES,6104,64316,51279,25118,1660,0.031356845,55000,37000,75000.0
Health,MEDICAL TECHNOLOGIES TECHNICIANS,6105,164990,121479,92128,4564,0.036209865,60000,45000,76000.0
Health,HEALTH AND MEDICAL PREPARATORY PROGRAMS,6106,32514,19009,13147,1431,0.070009785,50000,34000,85000.0
Health,NURSING,6107,1769892,1325711,947546,36503,0.026796817999999997,62000,48000,80000.0
Health,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,6108,180084,124058,89234,4414,0.034357681,106000,78000,125000.0
Health,TREATMENT THERAPY PROFESSIONS,6109,252138,199174,128115,5378,0.026291602999999997,61000,40000,80000.0
Health,COMMUNITY AND PUBLIC HEALTH,6110,56741,42543,28912,3032,0.06652770200000001,47000,32800,70000.0
Health,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,6199,77647,52610,35676,2978,0.053572714,45000,32000,62000.0
Business,GENERAL BUSINESS,6200,2148712,1580978,1304646,85626,0.051377532000000004,60000,40000,95000.0
Business,ACCOUNTING,6201,1779219,1335825,1095027,75379,0.053414672999999996,65000,42500,100000.0
Business,ACTUARIAL SCIENCE,6202,9763,7846,6880,466,0.056063523,72000,53000,115000.0
Business,BUSINESS MANAGEMENT AND ADMINISTRATION,6203,3123510,2354398,1939384,147261,0.058865337000000004,58000,39500,86000.0
Business,OPERATIONS LOGISTICS AND E-COMMERCE,6204,57200,47341,41104,2141,0.043268259,65000,45000,90000.0
Business,BUSINESS ECONOMICS,6205,75547,57983,48471,3816,0.061748572,65000,45000,100000.0
Business,MARKETING AND MARKETING RESEARCH,6206,1114624,890125,704912,51839,0.055032889,56000,38500,90000.0
Business,FINANCE,6207,816548,670681,561073,34166,0.048472931,65000,45000,100000.0
Business,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,6209,187274,142879,116466,9241,0.060748094,54000,38000,80000.0
Business,INTERNATIONAL BUSINESS,6210,86064,66453,51012,5106,0.071353708,54000,38600,80000.0
Business,HOSPITALITY MANAGEMENT,6211,200854,163393,122499,8862,0.051446982999999995,49000,33000,70000.0
Business,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,6212,156673,134478,118249,6186,0.043977137,72000,50000,100000.0
Business,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,6299,102753,77471,61603,4308,0.052678561,53000,36000,83000.0
Humanities & Liberal Arts,HISTORY,6402,712509,478416,354163,33725,0.06585100599999999,50000,35000,80000.0
Humanities & Liberal Arts,UNITED STATES HISTORY,6403,17746,11887,8204,943,0.07349961,50000,39000,81000.0
